ConstituentID;DisplayName;Nationality;Gender;BeginDate;EndDate
5945;Anne Truitt;American;Female;1921;2004
5947;Georg Trump;German;Male;1896;1985
5948;Nina Tryggvadottir;Icelandic;Female;1913;1968
5949;Donna Tryon;American;Female;0;0
5950;George Tscherny;American;Male;1924;0
5951;Jan Tschichold;Swiss;Male;1902;1974
5952;Augustin Tschinkel;Czech;Male;1905;0
5953;Oswald Tschirtner;Austrian;Male;1920;2007
5954;Lill Tschudi;Swiss;Female;1911;2004
5955;Tokiyoshi Tsubouchi;Japanese;Male;1946;0
5956;Hiromi Tsuchida;Japanese;Male;1939;0
5957;Hajime Tsuchisaki;Japanese;Male;0;0
5958;Tsuchiya Rakusan;Japanese;Male;1896;1976
5959;Akihiko Tsukamoto;Japanese;Male;1952;0
5960;Albert Tucker;Australian;Male;1914;1999
5961;Nicolas Tucker;British;Male;1948;0
5962;Toba Tucker;American;Female;1935;0
5963;William Tucker;American;Male;1935;0
5964;Akesuk Tudlik;Canadian Inuit;Male;1890;1966
5965;Rafael Tufiño;American;Male;1922;2008
5966;Jakob Tuggener;Swiss;Male;1904;1988
5967;Thomas Tulis;American;Male;1961;0
5968;Igael Tumarkin;Israeli;Male;1933;0
5969;John Tunnard;British;Male;1900;1971
5970;Earl S. Tupper;American;Male;1907;1983
5971;Albert Angus Turbayne;American;Male;1866;1940
5972;Giulio Turcato;Italian;Male;1912;1995
5974;Marko Turk;Slovenian;Male;1920;1999
5975;William Turnbull;British;Male;1922;2012
5976;Roberto Turnbull Buenrostro;Mexican;Male;1959;0
5977;Turner;Nationality unknown;nan;0;0
5978;Alwyn Scott Turner;American;Male;1936;0
5979;Alan Turner;American;Male;1943;0
5980;Benjamin Brecknell Turner;British;Male;1815;1894
5981;James Turrell;American;Male;1943;0
5982;Anne Turyn;American;Female;1954;0
5983;Richard Tuttle;American;Male;1941;0
5984;Léon H. Tutundjian;Russian;Male;1905;1968
5985;Guenter Tuzina;German;Male;1951;0
5986;Vilhelm Tveteraas;Norwegian;Male;0;0
5987;Stanley Twardowicz;American;Male;1917;2008
5988;Cy Twombly;American;Male;1928;2011
5989;Jack Tworkov;American;Male;1900;1982
5990;Alexei Alexandrovich Tyapushkin;Russian;Male;1919;0
5992;Richard Tyler;American;Male;0;0
5993;Nikolai Andreevich Tyrsa;Russian;Male;0;0
5994;Edgard Tytgat;Belgian;Male;1879;1957
5997;Raoul Ubac;Belgian;Male;1910;1985
5998;Ansei Uchima;American;Male;1921;2000
5999;Günther Uecker;German;Male;1930;0
6000;Shoji Ueda;Japanese;Male;1913;2000
6001;Jerry Uelsmann;American;Male;1934;0
6002;Maria Uhden;German;Female;1892;1918
6003;Ulla af Ugglas;Swedish;Female;1916;0
6004;Doris Ulmann;American;Female;1884;1934
6005;Timm Ulrichs;German;Male;1940;0
6006;Umbo (Otto Umbehr);German;Male;1902;1980
6008;Underwood and Underwood;American;nan;1880;1934
6009;G. F. Underwood;American;nan;0;0
6010;Hans Unger;British;Male;1872;1936
6011;Unknown Designer;Nationality unknown;nan;0;0
6013;Unknown Designer;French;nan;0;0
6014;Unknown Designer;German;nan;0;0
6015;Unknown Designer;Dutch;nan;0;0
6016;Unknown Designer;Italian;nan;0;0
6017;Unknown Designer;Mexican;nan;0;0
6018;Unknown Designer;Swedish;nan;0;0
6019;Unknown Designer;Swiss;nan;0;0
6020;Unknown Designer;British;nan;0;0
6021;Unknown Designer;American;nan;0;0
6024;Unkn Graph Art/des - British;British;nan;0;0
6025;Unkn Graph Art/des - Russian;Russian;nan;0;0
6026;Unknown Artist;Nationality unknown;nan;0;0
6030;Unknown Artist;American;nan;0;0
6031;Unknown sculptor;nan;nan;0;0
6032;Unknown Graphic Artist;American;nan;1895;1946
6033;Max Unold;German;Male;1885;1964
6034;Richard Upton;American;Male;1931;2013
6035;José Urbach;American;Male;1940;0
6036;Albert Urban;American;Male;1909;1959
6037;Reva Urban;American;Female;1925;1987
6038;Maciej Urbaniec;Polish;Male;1925;2004
6039;Graziella Urbinati;Italian;Female;1927;0
6040;Tony Urquhart;Canadian;Male;1934;0
6041;Demetrio Urruchúa;Argentine;Male;1902;1978
6042;Mario Urteaga;Peruvian;Male;1875;1957
6043;Kenji Ushiku;Japanese;Male;1922;0
6044;Kaworu Usui;Japanese;Male;0;0
6045;Ilya Utkin;Russian;Male;1955;0
6046;Maurice Utrillo;French;Male;1883;1955
6047;Burk Uzzle;American;Male;1938;0
6048;John Vachon;American;Male;1914;1975
6049;Polygnotos G. Vagis;American;Male;1894;1965
6050;Laurence Vail;American;Male;1891;1968
6051;Roger Vail;American;Male;1945;0
6052;Aida Vaisman;Argentine;Female;0;1940
6053;Meyer Vaisman;American;Male;1960;0
6054;Boris Vako;Russian;Male;0;0
6055;Suzanne Valadon;French;Female;1865;1938
6056;Valdo-Barbey (Valdo-Luis Barbey);French;Male;1883;1965
6057;Alfredo Valente;American;Male;1899;1973
6058;James Valentine;British;Male;1815;1880
6059;Walter Valentini;Italian;Male;1928;0
6060;James Valkus;American;Male;0;0
6061;Vallauris;French;nan;0;0
6062;Gino Valle;Italian;Male;1923;2003
6064;Félix Vallotton;French;Male;1865;1925
6065;Louis Valtat;French;Male;1869;1952
6066;Philip Van Aver;American;Male;1939;0
6067;Richard Van Buren;American;Male;1937;0
6068;Henry Clemens van de Velde;Belgian;Male;1863;1957
6069;Roland van den Berghe;Dutch;Male;1943;0
6070;Ed van Der Elsken;Dutch;Male;1925;1990
6071;Piet van der Have;Dutch;Male;0;0
6072;Bart Van Der Leck;Dutch;Male;1876;1958
6073;Frans van der Steen;Dutch;Male;0;0
6074;James Van Der Zee;American;Male;1886;1983
6075;James Van Dijk;American;Male;1930;2002
6076;Theo van Doesburg (Christian Emil Marie Küpper);Dutch;Male;1883;1931
6077;Kees van Dongen;French;Male;1877;1968
6078;Willard Van Dyke;American;Male;1906;1986
6079;Ger van Elk;Dutch;Male;1941;2014
6080;Jay Van Everen;American;Male;1875;1947
6081;Jan L. A. van Goethem;Dutch;Male;1929;0
6083;Diederick Van Kleef;Dutch;Male;1954;0
6085;Willem van Leusden;Dutch;Male;1886;1974
6086;J. E. van Lint;Dutch;nan;0;0
6087;Wim van Stek;Dutch;Male;1925;2001
6088;R. H. Vance;American;Male;1825;1876
6089;William Vandivert;American;Male;1912;1992
6090;Julius Vannerson;American;Male;1827;1875
6091;Georges Vantongerloo;Belgian;Male;1886;1965
6093;Yarom Vardimon;Israeli;Male;1941;0
6094;Luis Vargas;Nationality unknown;Male;0;0
6098;Various Artists;Danish;nan;0;0
6099;Various Artists;French;nan;0;0
6101;Various Artists;Haitian;nan;0;0
6102;Various Artists;Italian;nan;0;0
6103;Various Artists;Mexican;nan;0;0
6104;Various Artists;Nationality unknown;nan;0;0
6105;Various Artists;American;nan;0;0
6106;Various Artists;Russian;nan;0;0
6107;Various Artists;Various;nan;0;0
6109;Victor Vasarely;French;Male;1908;1997
6110;Sigurd Vasegaard;Danish;Male;0;0
6111;Yuri V. (Mon) Vasiliev;Russian;nan;1925;1990
6112;Mohsen Vaziri Moghaddam;Iranian;Male;1924;0
6113;Gene Vass;American;Male;1922;1996
6114;Keith Vaughan;British;Male;0;0
6115;Ben Vautier;French;Male;1935;0
6116;Eugène Charles Paul Vavasseur;French;Male;1863;1949
6117;Kristian Vedel;Danish;Male;1923;2003
6118;Alexander Semenovitch Vedernikov;Russian;Male;1898;1975
6119;Emilio Vedova;Italian;Male;1919;1995
6120;Jorge de la Vega;Argentine;Male;1930;1971
6121;Harriet M. Veissi;Nationality unknown;Female;0;0
6123;Jukka Veistola;Finnish;Male;1946;0
6124;Bram van Velde;Dutch;Male;1895;1981
6125;Vladimir Velickovic;Yugoslav;Male;1935;0
6126;Ruth Velissaratos;American;Female;1887;0
6127;Bernar Venet;French;Male;1941;0
6128;Michael Venezia;American;Male;1935;0
6129;Paolo Venini;Italian;Male;1895;1959
6130;Venna;Italian;nan;0;0
6131;Anita Ventura;American;Female;0;0
6132;Robert Venturi;American;Male;1925;2018
6133;Paul Véra;French;Male;1882;1957
6134;JoAnn Verburg;American;Female;1950;0
6135;André Verlon;Austrian;Male;1917;1993
6136;Luigi Veronesi;Italian;Male;1908;1998
6137;Raúl Veroni;Argentine;Male;1913;1992
6138;Kurt Versen;American;Male;1901;0
6139;Aleksandr Vesnin;Russian;Male;1883;1959
6140;Renzo Vespignani;Italian;Male;1924;2001
6141;Michael Vessa;American;Male;1948;0
6142;David Vestal;American;Male;1924;2013
6143;Heinz Veuhoff;German;Male;1933;0
6144;Ivan (Vial Williams) Vial;Chilean;Male;1928;0
6145;Claude Viallat;French;Male;1936;0
6146;Alberto Viani;Italian;Male;1906;1989
6147;Esteban Vicente;American;Male;1903;2001
6150;Roger Vieillard;French;Male;1907;1989
6151;Constance Brenner Vieira Da Cunha;American;Female;1943;0
6152;Maria Helena Vieira da Silva;French;Female;1908;1992
6153;Jean-Pierre Vielfaure;French;Male;1930;0
6154;Romas Viesulas;American;Male;1918;1986
6155;Massimo Vignelli;Italian;Male;1931;2014
6158;Miguel Vilá;Spanish;Male;0;0
6159;Juan Vila Vilacasas;Spanish;Male;1920;0
6160;Javier Vilato;Spanish;Male;0;0
